#Creator: pendulumviewEventBuffer
#Creation time: Thu Mar 30 09:56:21 2023
#Time A	Pos A	Time B	Pos B
#[s]	[au]	[s]	[au]
47.624	450	47.650	515
47.675	439	47.701	529
47.726	426	47.751	541
47.777	411	47.802	556
47.827	398	47.853	569
47.878	385	47.904	584
47.928	373	47.954	599
47.980	362	48.005	605
48.030	356	48.055	611
48.081	351	48.107	615
48.131	351	48.157	615
48.182	351	48.208	611
48.232	358	48.258	604
48.284	367	48.309	594
48.334	377	48.359	582
48.385	389	48.411	568
48.435	402	48.461	554
48.486	416	48.512	540
48.537	429	48.562	527
48.588	441	48.613	514
48.638	452	48.664	503
48.689	461	48.715	493
48.739	467	48.765	491
48.791	467	48.816	490
48.841	466	48.866	491
48.892	463	48.918	497
48.942	454	48.968	506
48.993	447	49.019	517
49.043	435	49.069	530
49.095	419	49.120	544
49.145	409	49.170	558
49.196	397	49.222	573
49.246	383	49.272	584
49.297	373	49.323	596
49.348	362	49.373	604
49.399	357	49.424	609
49.449	353	49.475	613
49.500	353	49.526	611
49.550	356	49.576	607
49.602	360	49.627	600
49.652	367	49.677	591
49.703	379	49.729	578
49.753	391	49.779	566
49.804	405	49.830	549
49.854	418	49.880	538
49.906	431	49.931	523
49.956	442	49.981	514
50.007	452	50.033	506
50.057	460	50.083	499
50.108	464	50.134	494
50.159	466	50.184	493
50.210	466	50.235	495
50.261	459	50.286	501
50.311	453	50.337	508
50.362	444	50.387	519
50.413	432	50.438	533
50.464	420	50.488	546
50.514	406	50.540	559
50.565	392	50.590	572
50.615	383	50.641	583
50.667	372	50.691	593
50.717	363	50.742	602
50.768	358	50.792	607
50.818	356	50.844	610
50.869	356	50.894	607
50.919	358	50.945	604
50.971	365	50.995	595
51.021	372	51.046	587
51.072	383	51.097	575
51.122	395	51.148	562
51.173	409	51.198	550
51.224	423	51.249	536
51.275	432	51.299	524
51.325	444	51.351	514
51.376	452	51.401	506
51.426	458	51.452	499
51.478	462	51.502	497
51.528	464	51.553	495
51.579	462	51.603	501
51.629	457	51.655	506
51.680	450	51.705	513
51.730	441	51.756	524
51.782	429	51.806	537
51.832	417	51.857	548
51.883	405	51.908	561
51.933	392	51.959	573
51.984	380	52.009	585
52.035	371	52.060	594
52.086	365	52.110	602
52.136	359	52.162	605
52.187	358	52.212	606
52.237	358	52.263	607
52.289	362	52.313	601
52.339	368	52.364	593
52.390	376	52.414	582
52.440	387	52.466	573
52.491	398	52.516	560
52.541	411	52.567	548
52.593	424	52.617	536
52.643	435	52.668	524
52.694	439	52.719	513
52.744	451	52.770	505
52.795	458	52.820	501
52.846	461	52.871	496
52.897	462	52.921	498
52.947	460	52.973	502
52.998	452	53.023	509
53.048	447	53.074	516
53.100	438	53.124	525
53.150	426	53.175	538
53.201	415	53.225	549
53.251	403	53.277	562
53.302	393	53.328	574
53.352	381	53.378	585
53.404	370	53.429	591
53.454	366	53.479	599
53.505	362	53.531	603
53.555	359	53.581	604
53.606	361	53.632	605
53.657	365	53.682	596
53.708	372	53.733	590
53.758	379	53.784	583
53.809	391	53.835	569
53.859	401	53.885	559
53.911	411	53.936	545
53.961	426	53.986	534
54.012	435	54.038	525
54.062	444	54.088	514
54.113	448	54.139	507
54.163	459	54.189	503
54.215	462	54.240	501
54.265	459	54.290	503
54.316	457	54.342	505
54.366	453	54.392	512
54.417	444	54.443	521
54.468	434	54.493	530
54.519	424	54.544	541
54.569	413	54.595	552
54.620	401	54.646	564
54.670	390	54.696	575
54.722	381	54.747	584
54.772	373	54.797	592
54.823	365	54.849	598
54.873	362	54.899	600
54.924	362	54.950	600
54.974	362	55.000	599
55.026	368	55.051	595
55.076	374	55.101	587
55.127	383	55.153	581
55.177	392	55.203	568
55.228	402	55.254	554
55.279	415	55.304	544
55.330	426	55.355	534
55.380	435	55.406	525
55.431	445	55.457	515
55.481	452	55.507	509
55.533	456	55.558	506
55.583	462	55.608	503
55.634	457	55.660	504
55.684	456	55.710	508
55.735	449	55.761	515
55.785	441	55.811	521
55.837	433	55.862	531
55.887	422	55.912	543
55.938	410	55.964	552
55.988	400	56.014	565
56.039	389	56.065	573
56.090	381	56.115	584
56.141	373	56.166	590
56.191	366	56.217	596
56.242	364	56.268	598
56.292	364	56.318	597
56.344	367	56.369	595
56.394	370	56.419	590
56.445	378	56.471	583
56.495	385	56.521	576
56.546	395	56.572	563
56.597	406	56.622	553
56.648	416	56.673	544
56.698	427	56.723	535
56.749	435	56.775	524
56.799	445	56.825	516
56.850	450	56.876	510
56.901	453	56.926	508
56.952	456	56.977	505
57.002	456	57.028	507
57.053	453	57.079	512
57.103	446	57.129	518
