#Creator: pendulumviewEventBuffer
#Creation time: Thu Mar 30 09:56:21 2023
#Time A	Pos A	Time B	Pos B
#[s]	[au]	[s]	[au]
45.191	501	45.217	584
45.243	488	45.267	575
45.293	470	45.318	562
45.344	449	45.368	547
45.394	427	45.420	532
45.445	403	45.471	513
45.495	380	45.521	489
45.547	357	45.572	474
45.597	337	45.622	462
45.648	322	45.674	446
45.698	310	45.724	435
45.749	303	45.775	428
45.800	304	45.825	425
45.851	307	45.876	426
45.901	315	45.927	432
45.952	329	45.978	441
46.002	346	46.028	453
46.054	369	46.079	467
46.104	389	46.129	486
46.155	413	46.181	504
46.205	435	46.231	521
46.256	457	46.282	541
46.306	475	46.332	558
46.358	489	46.383	570
46.408	500	46.433	581
46.459	507	46.485	587
46.509	506	46.535	591
46.560	504	46.586	589
46.611	495	46.636	584
46.662	481	46.687	575
46.712	464	46.738	562
46.763	444	46.789	544
46.813	421	46.839	530
46.865	399	46.890	508
46.915	377	46.940	490
46.966	355	46.992	476
47.016	338	47.042	460
47.067	324	47.093	445
47.117	315	47.143	435
47.169	309	47.194	428
47.219	311	47.244	425
47.270	312	47.296	425
47.320	323	47.346	431
47.371	336	47.397	441
47.422	353	47.447	453
47.473	372	47.498	467
47.523	395	47.549	489
47.574	417	47.600	506
47.624	438	47.650	523
47.676	460	47.701	541
47.726	474	47.751	557
47.777	488	47.803	570
47.827	498	47.853	581
47.878	502	47.904	588
47.928	501	47.954	591
47.980	496	48.005	590
48.030	488	48.055	584
48.081	473	48.107	576
48.131	457	48.157	563
48.182	438	48.208	547
48.233	416	48.258	533
48.284	394	48.309	511
48.334	374	48.360	493
48.385	356	48.411	476
48.435	338	48.461	459
48.487	328	48.512	445
48.537	318	48.562	435
48.588	314	48.614	428
48.638	317	48.664	426
48.689	321	48.715	426
48.740	330	48.765	433
48.791	343	48.816	439
48.841	360	48.866	454
48.892	380	48.918	471
48.942	399	48.968	487
48.993	419	49.019	506
49.044	440	49.069	524
49.095	459	49.120	542
49.145	472	49.171	559
49.196	486	49.222	570
49.246	496	49.272	582
49.298	497	49.323	588
49.348	495	49.373	591
49.399	490	49.425	590
49.449	480	49.475	582
49.500	467	49.526	574
49.551	451	49.576	559
49.602	432	49.627	545
49.652	412	49.677	527
49.703	394	49.729	510
49.753	375	49.779	492
49.804	355	49.830	473
49.855	343	49.880	458
49.906	331	49.931	443
49.957	323	49.982	433
50.007	321	50.033	426
50.058	321	50.083	425
50.109	326	50.134	426
50.160	337	50.184	433
50.210	350	50.236	443
50.261	366	50.286	454
50.311	381	50.337	468
50.363	402	50.387	488
50.413	421	50.438	507
50.464	439	50.488	526
50.514	458	50.540	544
50.565	470	50.590	560
50.615	480	50.641	574
50.667	490	50.691	583
50.717	491	50.742	589
50.768	491	50.793	591
50.818	484	50.844	590
50.869	475	50.894	587
50.920	461	50.945	573
50.971	445	50.995	560
51.021	427	51.047	543
51.072	409	51.097	526
51.122	391	51.148	508
51.174	376	51.198	488
51.224	358	51.249	471
51.275	344	51.300	456
51.325	337	51.351	442
51.376	328	51.401	432
51.426	326	51.452	429
51.478	329	51.502	423
51.528	334	51.553	427
51.579	343	51.604	432
51.629	356	51.655	442
51.680	371	51.705	460
51.731	388	51.756	474
51.782	405	51.806	491
51.832	422	51.858	510
51.883	438	51.908	529
51.933	455	51.959	547
51.985	468	52.009	562
52.035	477	52.060	573
52.086	484	52.111	584
52.136	485	52.162	591
52.187	483	52.212	592
52.237	477	52.263	587
52.289	468	52.313	584
52.339	456	52.364	573
52.390	442	52.415	558
52.440	425	52.466	541
52.491	408	52.516	523
52.542	390	52.567	505
52.593	377	52.617	487
52.643	360	52.669	470
52.694	349	52.719	453
52.744	339	52.770	438
52.796	333	52.820	431
52.846	332	52.871	425
52.897	335	52.922	425
52.947	339	52.973	428
52.998	350	53.024	435
53.048	361	53.074	445
53.100	375	53.125	461
53.150	390	53.175	477
53.201	407	53.227	494
53.251	423	53.277	513
53.302	439	53.328	532
53.353	454	53.378	550
53.404	466	53.429	565
53.454	472	53.480	576
53.505	479	53.531	585
53.555	480	53.581	591
53.607	478	53.632	591
53.657	472	53.682	586
53.708	463	53.734	579
53.758	453	53.784	569
53.809	438	53.835	555
53.860	422	53.885	539
53.911	405	53.936	520
53.961	391	53.986	501
54.012	376	54.038	481
54.062	364	54.088	466
54.113	352	54.139	449
54.164	345	54.189	437
54.215	339	54.240	430
54.265	338	54.291	424
54.316	339	54.342	425
54.366	345	54.392	428
54.418	355	54.443	438
54.468	366	54.493	449
54.519	374	54.545	463
54.569	392	54.595	481
54.620	409	54.646	498
54.671	423	54.696	516
54.722	438	54.747	536
54.772	450	54.797	552
54.823	460	54.849	567
54.873	469	54.899	577
54.924	473	54.950	586
54.975	476	55.000	589
55.026	473	55.051	591
55.076	467	55.102	586
55.127	460	55.153	577
55.177	449	55.203	565
55.229	434	55.254	551
55.279	423	55.304	533
55.330	407	55.356	515
55.380	393	55.406	497
55.431	377	55.457	477
55.482	367	55.507	464
55.533	356	55.558	448
55.583	349	55.608	436
55.634	344	55.660	429
55.684	342	55.710	423
55.735	345	55.761	427
55.786	350	55.811	432
55.837	358	55.862	440
55.887	370	55.913	453
55.938	380	55.964	468
55.988	396	56.014	485
56.040	407	56.065	503
56.090	423	56.115	521
56.141	435	56.167	540
56.191	448	56.217	555
56.242	456	56.268	570
56.293	464	56.318	583
56.344	468	56.369	586
56.394	469	56.420	589
56.445	469	56.471	588
56.495	465	56.521	583
56.546	456	56.572	574
56.597	446	56.622	561
56.648	432	56.673	546
56.699	421	56.724	529
56.749	407	56.775	511
56.800	393	56.825	492
56.851	381	56.876	476
56.902	370	56.926	458
56.952	360	56.978	446
57.003	353	57.028	439
57.053	349	57.079	430
57.105	348	57.129	429
